title,bvid,aid,url,author,pubdate,duration,play,danmaku,tags,desc
石宇奇如何逆转小波波夫？战术针对得当！,BV1h6a6zFENm,115141613984707,http://www.bilibili.com/video/av115141613984707,星魂羽南,2025-09-04 12:00:00,8:7,694,0,比赛|训练|体育|羽毛球|战术|世锦赛|杀球|石宇奇,小波波夫这个反手早该干他了
20岁加拿大黑马赖浩俊 看完精彩操作 不笑 应该就是骆建佑或者是石宇奇了,BV1WQa6zQE9d,115141211331985,http://www.bilibili.com/video/av115141211331985,独树一帜的我--,2025-09-04 11:30:00,3:27,2730,47,精彩|比赛|体育|防守|黑马|羽毛球|20岁|石宇奇|骆建佑|赖浩俊,"20岁 加拿大球员 积分排名50 
赖浩俊将这些与世锦赛铜牌画上了等于号
低失误率 与同期球员少俱备的冷静 沉默 少言寡语 夸张的跟随与防守 果断的突击
让他突破了 陆光祖 全奕陈 骆建佑 半决赛将石宇奇拖入绝境 一度20:18拿到赛点
上一次20岁拿到世锦赛铜牌的还是安赛龙吧 
赖浩俊 未来可期 加油"
荣耀向你俯首 | 2025巴黎羽毛球世锦赛石宇奇夺冠纪念混剪,BV1UKakzcE2F,115142553508205,http://www.bilibili.com/video/av115142553508205,JoKeRAD_,2025-09-04 08:00:00,2:50,327,0,比赛|巴黎|体育|羽毛球|世锦赛|石宇奇|昆拉武特,除了奥运外第一次看羽毛球比赛是2018年的南京世锦赛，你0:2不敌桃田贤斗，而如今你终于站在了这最高领奖台上，七年，大家一起走了一段很长的路。8月31号晚上飞机起飞的前一刻最后一球落地，然后我便用了一千多公里来回味这一时刻。祝你的今后能放下包袱，继续绽放光芒。
「石宇奇」世锦赛的挣扎与突破！夺冠球路与技战术复盘！世界冠军的顶级比赛思路！,BV1EAarz5E9Z,115141295218035,http://www.bilibili.com/video/av115141295218035,程小山的那边,2025-09-04 00:30:09,10:45,9149,143,世界冠军|羽毛球|世锦赛|石宇奇|羽毛球战术|石宇奇夺冠|羽毛球公式化教程,2025年羽毛球世锦赛——石宇奇的决赛夺冠之路复盘！详解比赛中的技战术调整思路与运动员的临场变化！世界冠军的顶级比赛思路分享！
石宇奇又被小波波夫冲击了，主场优势这么明显吗？？,BV1cvazzyEmP,115139835599927,http://www.bilibili.com/video/av115139835599927,一只理智策,2025-09-03 18:21:58,10:9,3118,4,比赛|体育|羽毛球|主场|杀球|石宇奇,"感谢大家关注！
已获授权"
“他比所有人都刻苦，比所有人承受的压力都大！”,BV1HfaMzoEVA,115138124316938,http://www.bilibili.com/video/av115138124316938,羽剪琉羊,2025-09-03 10:59:54,7:18,10064,69,励志|成长|正能量|体育|羽毛球|世锦赛|羽毛球比赛|石宇奇|B站超高清视频计划,
羽毛球男单最新世界排名，石宇奇第一，安东森第二，昆拉武特第三，李诗沣第四，乔纳坦第五，周天成第六，第七拉尼尔，第八骆建佑，第九奈良冈功大，第十小波波夫,BV1caaNzUEny,115135825841700,http://www.bilibili.com/video/av115135825841700,谈天说地的无痕,2025-09-03 01:15:49,0:12,1121,0,比赛|体育|羽毛球,-
春风若有怜花意，可否许我再少年#羽毛球比赛 #石宇奇#桃田贤斗#低视角,BV1inaPzTEHv,115134399777459,http://www.bilibili.com/video/av115134399777459,多吃水果OvO,2025-09-02 19:19:06,0:26,362,0,比赛|体育|羽毛球|羽毛球比赛|低视角|必剪创作,-
恭喜石头巴黎夺冠！积分突破11w！,BV1xCaPzHEQg,115134215232465,http://www.bilibili.com/video/av115134215232465,-SUPERCELL-DREAM,2025-09-02 18:29:05,0:12,3378,0,比赛|石头|羽毛球|赛事|石宇奇|世界羽联,9月2日，世界羽联2025年第36周排名更新，上周结束的巴黎世界羽毛球锦标赛中，石头圆梦巴黎首夺单项世界冠军，成为继桃田贤斗和安赛龙之后第三位积分突破11万的男单球员。恭喜石头！！
“石宇奇当之无愧的超一流”,BV18SaczDE53,115133963698568,http://www.bilibili.com/video/av115133963698568,ZY说羽球,2025-09-02 17:25:11,0:27,2817,0,比赛|体育|羽毛球|世锦赛|石宇奇,
